x,y
723.5,889
881.5,338
727.0,891
878.5,338
739.0,895
870.5,337
743.5,899
865.5,335
744.5,900
864.5,335
748.0,902
861.5,336
757.5,901
850.0,335
762.5,901
848.0,336
774.0,904
848.0,335
782.5,908
845.5,335
788.5,913
843.0,335
797.0,921
840.5,334
808.5,929
835.5,334
815.0,933
833.0,332
826.0,939
828.0,336
831.0,939
823.0,337
833.5,940
821.5,337
839.0,941
814.5,336
853.0,947
808.0,336
854.5,950
808.0,336
872.5,953
807.0,336
896.0,953
806.5,335
909.5,953
806.5,336
807.0,335
939.0,953
808.5,335
956.5,954
810.5,335
965.5,955
814.0,336
980.5,954
995.0,955
817.5,337
1005.5,952
818.5,337
1019.5,950
821.0,337
1051.5,952
822.5,338
824.0,338
1067.5,952
825.5,338
1085.5,952
826.0,338
1092.5,950
826.0,338
1089.5,953
1132.5,958
826.5,338
1148.0,961
827.0,338
1159.0,962
828.5,339
1174.5,971
830.0,338
1189.5,971
832.0,339
1201.5,971
832.5,338
1228.0,972
835.0,338
1257.5,972
834.5,337
1274.0,969
834.5,338
834.5,337
1292.5,962
1304.0,962
832.5,337
1310.5,965
832.5,338
1338.0,969
833.5,339
1365.0,975
833.5,338
1371.0,974
833.0,339
1384.5,975
831.5,339
1401.5,978
831.5,338
1405.0,976
831.5,338
1419.0,979
832.0,339
1429.0,978
831.0,339
1434.0,976
830.0,339
1442.5,980
828.5,339
1450.0,979
823.5,338
1451.0,979
819.5,338
1456.0,979
809.5,339
1462.0,980
802.0,339
1465.5,980
794.5,338
1469.0,981
784.0,338
1467.0,981
778.0,342
1467.0,981
776.0,342
1464.5,980
775.0,345
1463.5,980
764.5,345
1463.5,979
749.5,345
1464.0,976
740.5,345
1457.0,973
736.5,344
1454.0,972
735.0,344
1445.5,970
733.0,345
1435.0,970
716.0,345
1434.5,971
709.0,344
1421.0,970
698.0,344
1414.5,971
682.0,344
1412.5,971
676.0,343
1408.5,971
685.0,344
1406.5,969
679.0,341
1401.5,967
646.0,341
1395.0,953
619.0,338
1362.5,942
1386.0,944
1360.5,941
626.5,340
1348.0,940
605.5,342
1335.5,938
600.5,342
1329.0,934
594.5,342
1316.5,937
589.0,341
1294.0,933
580.0,341
1288.0,932
572.0,339
1283.5,927
562.0,338
1278.5,920
557.0,341
1270.0,913
557.0,341
1260.0,906
546.5,342
1229.5,903
540.0,342
1223.0,902
535.5,341
1212.0,901
525.0,343
1207.5,900
87.0,1070
1192.0,899
86.0,1069
1186.0,897
95.0,1080
1176.0,897
95.0,1074
1173.0,898
94.5,1073
1163.0,896
1156.0,894
1153.5,893
1146.5,890
1138.0,884
1134.5,880
533.0,1077
1126.0,878
1119.5,875
1117.5,872
1155.0,1072
1115.5,867
1163.5,1074
1111.0,862
1178.0,1070
1110.0,864
1184.0,1069
1109.0,864
1187.0,1066
1110.5,863
210.5,564
1109.5,862
214.0,565
1107.5,862
506.0,331
1102.5,859
508.5,330
